id_evento,id_reporte,fecha_evento,tipo_evento,responsable,observacion
EVT-00001-1,NEXO-147-00001,2026-04-08 10:26,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 1
EVT-00002-1,NEXO-147-00002,2025-08-27 08:27,Análisis preliminar,director.demo,Evento sintético de seguimiento 1
EVT-00002-2,NEXO-147-00002,2025-08-27 11:27,Registro inicial,operador.demo2,Evento sintético de seguimiento 2
EVT-00003-1,NEXO-147-00003,2026-04-18 17:26,Actualización de estado,analista.demo1,Evento sintético de seguimiento 1
EVT-00004-1,NEXO-147-00004,2026-02-15 15:21,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00004-2,NEXO-147-00004,2026-02-15 20:21,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 2
EVT-00004-3,NEXO-147-00004,2026-02-16 07:21,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 3
EVT-00005-1,NEXO-147-00005,2025-12-07 20:21,Análisis preliminar,director.demo,Evento sintético de seguimiento 1
EVT-00005-2,NEXO-147-00005,2025-12-08 07:21,Registro inicial,analista.demo1,Evento sintético de seguimiento 2
EVT-00005-3,NEXO-147-00005,2025-12-08 16:21,Asignación a unidad,director.demo,Evento sintético de seguimiento 3
EVT-00006-1,NEXO-147-00006,2026-04-14 10:59,Actualización de estado,director.demo,Evento sintético de seguimiento 1
EVT-00007-1,NEXO-147-00007,2025-03-13 21:05,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00007-2,NEXO-147-00007,2025-03-14 05:05,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00008-1,NEXO-147-00008,2025-03-26 11:48,Análisis preliminar,director.demo,Evento sintético de seguimiento 1
EVT-00009-1,NEXO-147-00009,2026-05-03 11:41,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00010-1,NEXO-147-00010,2025-07-12 02:55,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00010-2,NEXO-147-00010,2025-07-12 13:55,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00010-3,NEXO-147-00010,2025-07-12 04:55,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 3
EVT-00011-1,NEXO-147-00011,2025-08-27 14:15,Registro inicial,director.demo,Evento sintético de seguimiento 1
EVT-00011-2,NEXO-147-00011,2025-08-27 18:15,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 2
EVT-00011-3,NEXO-147-00011,2025-08-28 04:15,Registro inicial,analista.demo2,Evento sintético de seguimiento 3
EVT-00012-1,NEXO-147-00012,2026-01-31 23:30,Registro inicial,analista.demo2,Evento sintético de seguimiento 1
EVT-00012-2,NEXO-147-00012,2026-02-01 08:30,Análisis preliminar,analista.demo1,Evento sintético de seguimiento 2
EVT-00013-1,NEXO-147-00013,2025-09-19 16:14,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00013-2,NEXO-147-00013,2025-09-19 17:14,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 2
EVT-00013-3,NEXO-147-00013,2025-09-20 16:14,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 3
EVT-00014-1,NEXO-147-00014,2026-05-20 06:44,Actualización de estado,analista.demo1,Evento sintético de seguimiento 1
EVT-00014-2,NEXO-147-00014,2026-05-20 17:44,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 2
EVT-00014-3,NEXO-147-00014,2026-05-21 04:44,Registro inicial,analista.demo1,Evento sintético de seguimiento 3
